Title,Author,URL,Subject,LoC Class,Downloads
Romeo and Juliet,William Shakespeare (2757),https://www.gutenberg.org/ebooks/1513,Vendetta -- Drama,PR: Language and Literatures: English literature,141135 downloads in the last 30 days.
"Moby Dick; Or, The Whale",Herman Melville (2442),https://www.gutenberg.org/ebooks/2701,Whaling -- Fiction,PS: Language and Literatures: American and Canadian literature,116492 downloads in the last 30 days.
A Room with a View,E. M.  Forster (2269),https://www.gutenberg.org/ebooks/2641,Humorous stories,PR: Language and Literatures: English literature,120504 downloads in the last 30 days.
Middlemarch,George Eliot (2267),https://www.gutenberg.org/ebooks/145,Didactic fiction,PR: Language and Literatures: English literature,118209 downloads in the last 30 days.
"Little Women; Or, Meg, Jo, Beth, and Amy",Louisa May Alcott (2068),https://www.gutenberg.org/ebooks/37106,Autobiographical fiction,PZ: Language and Literatures: Juvenile belles lettres,110730 downloads in the last 30 days.
The Complete Works of William Shakespeare,William Shakespeare (2051),https://www.gutenberg.org/ebooks/100,"English drama -- Early modern and Elizabethan, 1500-1600",PR: Language and Literatures: English literature,108400 downloads in the last 30 days.
The Enchanted April,Elizabeth Von Arnim (1981),https://www.gutenberg.org/ebooks/16389,Love stories,PR: Language and Literatures: English literature,108877 downloads in the last 30 days.
The Blue Castle: a novel,L. M.  Montgomery (1953),https://www.gutenberg.org/ebooks/67979,Self-actualization (Psychology) -- Fiction,PZ: Language and Literatures: Juvenile belles lettres,106237 downloads in the last 30 days.
"History of Tom Jones, a Foundling",Henry Fielding (1866),https://www.gutenberg.org/ebooks/6593,Humorous stories,PR: Language and Literatures: English literature,98317 downloads in the last 30 days.
Cranford,Elizabeth Cleghorn Gaskell (1854),https://www.gutenberg.org/ebooks/394,England -- Fiction,PR: Language and Literatures: English literature,102969 downloads in the last 30 days.
The Expedition of Humphry Clinker,T.  Smollett (1851),https://www.gutenberg.org/ebooks/2160,Epistolary fiction,PR: Language and Literatures: English literature,100833 downloads in the last 30 days.
The Adventures of Ferdinand Count Fathom — Complete,T.  Smollett (1827),https://www.gutenberg.org/ebooks/6761,Gothic fiction,PR: Language and Literatures: English literature,102822 downloads in the last 30 days.
The Adventures of Roderick Random,T.  Smollett (1822),https://www.gutenberg.org/ebooks/4085,Sea stories,PR: Language and Literatures: English literature,100112 downloads in the last 30 days.
Twenty Years After,Alexandre Dumas (1782),https://www.gutenberg.org/ebooks/1259,"France -- History -- Louis XIV, 1643-1715 -- Fiction","PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese",94869 downloads in the last 30 days.
My Life — Volume 1,Richard Wagner (1742),https://www.gutenberg.org/ebooks/5197,"Wagner, Richard, 1813-1883",ML: Music: Literature of music,94388 downloads in the last 30 days.
Pride and Prejudice,Jane Austen (1419),https://www.gutenberg.org/ebooks/1342,England -- Fiction,PR: Language and Literatures: English literature,56771 downloads in the last 30 days.
"Frankenstein; Or, The Modern Prometheus",Mary Wollstonecraft Shelley (1211),https://www.gutenberg.org/ebooks/84,Science fiction,PR: Language and Literatures: English literature,61599 downloads in the last 30 days.
Noli Me Tangere,José Rizal (1114),https://www.gutenberg.org/ebooks/20228,Historical fiction,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese",36243 downloads in the last 30 days.
"Ang ""Filibusterismo"" (Karugtóng ng Noli Me Tangere)",José Rizal (1082),https://www.gutenberg.org/ebooks/47629,Nationalists -- Philippines -- Fiction,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese",25531 downloads in the last 30 days.
Alice's Adventures in Wonderland,Lewis Carroll (872),https://www.gutenberg.org/ebooks/11,Fantasy fiction,PR: Language and Literatures: English literature,30779 downloads in the last 30 days.
The Great Gatsby,F. Scott  Fitzgerald (686),https://www.gutenberg.org/ebooks/64317,Psychological fiction,PS: Language and Literatures: American and Canadian literature,29616 downloads in the last 30 days.
The Picture of Dorian Gray,Oscar Wilde (626),https://www.gutenberg.org/ebooks/174,Didactic fiction,PR: Language and Literatures: English literature,23956 downloads in the last 30 days.
A Tale of Two Cities,Charles Dickens (596),https://www.gutenberg.org/ebooks/98,Historical fiction,PR: Language and Literatures: English literature,22361 downloads in the last 30 days.
Dracula,Bram Stoker (583),https://www.gutenberg.org/ebooks/345,Horror tales,PR: Language and Literatures: English literature,23084 downloads in the last 30 days.
The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson (572),https://www.gutenberg.org/ebooks/43,Science fiction,PR: Language and Literatures: English literature,16596 downloads in the last 30 days.
The slang dictionary :,John Camden Hotten (571),https://www.gutenberg.org/ebooks/42108,English language -- England -- London -- Slang -- Dictionaries,PE: Language and Literatures: English,9321 downloads in the last 30 days.
The Importance of Being Earnest: A Trivial Comedy for Serious People,Oscar Wilde (554),https://www.gutenberg.org/ebooks/844,Comedies,PR: Language and Literatures: English literature,26663 downloads in the last 30 days.
A Doll's House : a play,Henrik Ibsen (542),https://www.gutenberg.org/ebooks/2542,Marriage -- Drama,"PT: Language and Literatures: Germanic, Scandinavian, and Icelandic literatures",24680 downloads in the last 30 days.
Ye antient wrecke—1626 :,Leander Crosby and Charles W. Livermore (504),https://www.gutenberg.org/ebooks/70759,,,504 downloads in the last 30 days.
The Reign of Greed,José Rizal (504),https://www.gutenberg.org/ebooks/10676,Philippine fiction (Spanish) -- Translations into English,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese",13271 downloads in the last 30 days.
Corpus earthling,Louis Charbonneau (470),https://www.gutenberg.org/ebooks/70760,,,470 downloads in the last 30 days.
Destiny times three,Fritz Leiber (464),https://www.gutenberg.org/ebooks/70761,,,464 downloads in the last 30 days.
Metamorphosis,Franz Kafka (462),https://www.gutenberg.org/ebooks/5200,Psychological fiction,"PT: Language and Literatures: Germanic, Scandinavian, and Icelandic literatures",19017 downloads in the last 30 days.
Florante at Laura,Francisco Balagtas (441),https://www.gutenberg.org/ebooks/15845,Tagalog poetry,"PL: Language and Literatures: Languages and literatures of Eastern Asia, Africa, Oceania",9752 downloads in the last 30 days.
The Brothers Karamazov,Fyodor Dostoyevsky (438),https://www.gutenberg.org/ebooks/28054,Didactic fiction,"PG: Language and Literatures: Slavic (including Russian), Languages and Literature",14129 downloads in the last 30 days.
War and Peace,graf Leo Tolstoy (415),https://www.gutenberg.org/ebooks/2600,Historical fiction,"PG: Language and Literatures: Slavic (including Russian), Languages and Literature",13475 downloads in the last 30 days.
Great Expectations,Charles Dickens (412),https://www.gutenberg.org/ebooks/1400,Orphans -- Fiction,PR: Language and Literatures: English literature,16890 downloads in the last 30 days.
The Adventures of Sherlock Holmes,Arthur Conan Doyle (410),https://www.gutenberg.org/ebooks/1661,"Holmes, Sherlock (Fictitious character) -- Fiction",PR: Language and Literatures: English literature,14243 downloads in the last 30 days.
Ulysses,James Joyce (396),https://www.gutenberg.org/ebooks/4300,City and town life -- Fiction,PR: Language and Literatures: English literature,14054 downloads in the last 30 days.
"The Count of Monte Cristo, Illustrated",Alexandre Dumas (381),https://www.gutenberg.org/ebooks/1184,Historical fiction,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese",13650 downloads in the last 30 days.
A Modest Proposal,Jonathan Swift (374),https://www.gutenberg.org/ebooks/1080,"Political satire, English",PR: Language and Literatures: English literature,16983 downloads in the last 30 days.
The Kama Sutra of Vatsyayana,Vatsyayana (362),https://www.gutenberg.org/ebooks/27827,Love,"HQ: Social sciences: The family, Marriage, Sex and Gender",11202 downloads in the last 30 days.
Au Sahara :,Hugues Le Roux (357),https://www.gutenberg.org/ebooks/70754,,,548 downloads in the last 30 days.
The Philippines a Century Hence,José Rizal (355),https://www.gutenberg.org/ebooks/35899,Philippines,DS: History: General and Eastern Hemisphere: Asia,9578 downloads in the last 30 days.
